"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"nbinom","ar1",5,3,45,23802,TRUE,17.9981560970697,0.000123523634401321,0,-574.556870740823,-574.556870642668,-1.17364493235073e-07,"g,dispersion","boundary",1.0000002643432,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,45,31721,TRUE,0.275584744038933,0.871279574985572,0.318553377277486,-635.857519297203,-636.773265646414,22.5998736110207,"g","boundary",1.06416691120028,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,45,39640,TRUE,21.0786955773203,2.64739907344338e-05,0,-504.73980966456,-504.739809643778,-1.96095584215072e-08,"dispersion","boundary",0.999999954622305,TRUE,TRUE,TRUE
"nbinom","ri",50,6,45,47559,TRUE,3.96501404721012,0.137723528005586,1.90661398984041,-548.994139853992,-549.149120617124,0.14019110149593,"","tmb",1.03089746750799,TRUE,FALSE,FALSE
"nbinom","ri",5,7,45,55478,TRUE,1.54358136308103,0.462184701248939,0.33466704514643,-516.867249013385,-525.250636646316,7.26411428736026,"","tmb",1.24556132424022,TRUE,FALSE,FALSE
"beta","ar1",10000,8,45,63397,TRUE,17.357036247182,0.000170203100771672,0,222.033930543082,NA,9.56555313678109e-05,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,45,71316,TRUE,17.4723079448512,0.00016067064484768,0,220.547841482736,NA,0.000157704466801079,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,45,79235,TRUE,3.04183585173583,0.218511217767368,0.305105915591468,119.43121738996,NA,72.0984103432197,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,45,87154,TRUE,5.36428816627611,0.0684163065345724,0.0858965006307054,526.474624431484,NA,2176.95908791922,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,45,95073,TRUE,2.93450389018168,0.230558202017148,0.0843658597618096,206.181648919599,NA,2227.55043467003,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,46,7965,TRUE,17.1210142419874,0.000191522144109218,0,-618.480957232609,-618.480957100363,-1.26020722746034e-07,"dispersion","boundary",1.00000005412125,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,46,15884,TRUE,16.6883084294796,0.000237782488807319,0,-616.369215625529,-616.369215035478,-5.68548784940504e-07,"g,dispersion","boundary",1.00000002429025,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,46,23803,TRUE,1.01345354359814,0.602464358249762,0.458608661671927,-638.622353940652,-639.499243150478,10.3018384866808,"","tmb",1.03105742955613,TRUE,FALSE,FALSE
"nbinom","ar1",1,4,46,31722,TRUE,-0.204481878382081,1.10765031595111,0.239266184028733,-580.598872268682,-579.640246782106,48.8100111665925,"","tmb",0.974082327367207,TRUE,TRUE,FALSE
"nbinom","ri",Inf,5,46,39641,TRUE,3.67672500690923,0.159077702135908,1.20518299796298,-552.380565078303,-552.788605957372,0.366732955017483,"","tmb",1.04515508378067,TRUE,FALSE,FALSE
"nbinom","ri",50,6,46,47560,TRUE,21.6100754273947,2.02969949742893e-05,0,-488.661939190214,-488.661939188824,6.99856173014268e-10,"dispersion","boundary",0.999999969664426,TRUE,TRUE,TRUE
"nbinom","ri",5,7,46,55479,TRUE,1.87963421523439,0.390699284747694,0.399550375332079,-516.195448079089,-521.619001795089,4.77407941466856,"","tmb",1.1917086061976,TRUE,FALSE,FALSE
"beta","ar1",10000,8,46,63398,TRUE,17.9793413332598,0.000124691151433409,0,211.975200345138,NA,0.000644477485820971,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,46,71317,TRUE,31.0717926400325,1.78997084308754e-07,0.068750824662126,235.795932434307,NA,-371.345703124891,"","none",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,46,79236,TRUE,2.81189838803638,0.245134266009806,0.37866956881885,105.369364355036,NA,92.2512741045839,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,46,87155,TRUE,5.25692353011466,0.0721894211665667,0.085872692914019,513.975626220954,NA,2177.4129603866,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,46,95074,TRUE,3.04072752828324,0.218632341879095,0.0844439552491792,222.560619596662,NA,2220.00565012743,"","tmb",NA,TRUE,FALSE,FALSE
